央视,#genre#
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8$官方1
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8$官方1

浙江卫视,https://live.goodiptv.club/api/sxg.php?id=zjwsH265_4000
安徽卫视,https://live.goodiptv.club/api/sxg.php?id=ahwsH265_4000
北京卫视,https://live.goodiptv.club/api/sxg.php?id=bjwsH265_4000
兵团卫视,https://live.goodiptv.club/api/sxg.php?id=btws_4000
重庆卫视,https://live.goodiptv.club/api/sxg.php?id=cqwsH265_4000
东方卫视,https://live.goodiptv.club/api/sxg.php?id=dfwsH265_4000
东南卫视,https://live.goodiptv.club/api/sxg.php?id=dnwsfjwsH265_4000
甘肃卫视,https://live.goodiptv.club/api/sxg.php?id=gsws_4000
广东卫视,https://live.goodiptv.club/api/sxg.php?id=gdwsH265_4000
广西卫视,https://live.goodiptv.club/api/sxg.php?id=gxws_4000
贵州卫视,https://live.goodiptv.club/api/sxg.php?id=gzwsH265_4000
海南卫视,https://live.goodiptv.club/api/sxg.php?id=hnws_4000
河南卫视,https://live.goodiptv.club/api/sxg.php?id=hnws35_4000
黑龙江卫视,https://live.goodiptv.club/api/sxg.php?id=hljwsH265_4000
湖北卫视,https://live.goodiptv.club/api/sxg.php?id=hbwsH265_4000
湖南卫视,https://live.goodiptv.club/api/sxg.php?id=hnwsH265_4000
吉林卫视,https://live.goodiptv.club/api/sxg.php?id=jlwsH265_4000
江苏卫视,https://live.goodiptv.club/api/sxg.php?id=jswsH265_4000
江西卫视,https://live.goodiptv.club/api/sxg.php?id=jxwsH265_4000
康巴卫视,https://live.goodiptv.club/api/sxg.php?id=kbwsH264_2000
辽宁卫视,https://live.goodiptv.club/api/sxg.php?id=lnwsHDH264_4000
内蒙古卫视,https://live.goodiptv.club/api/sxg.php?id=nmgws_4000
山东教育卫视,https://live.goodiptv.club/api/sxg.php?id=sdjy_4000
山东卫视,https://live.goodiptv.club/api/sxg.php?id=sdwsH265_4000
山西卫视,https://live.goodiptv.club/api/sxg.php?id=sxws42_4000
陕西卫视;https://live.goodiptv.club/api/sxg.php?id=sxws_4000
深圳卫视,https://live.goodiptv.club/api/sxg.php?id=szwsH265_4000
四川卫视,https://live.goodiptv.club/api/sxg.php?id=scwsH265_4000
天津卫视,https://live.goodiptv.club/api/sxg.php?id=tjwsH265_4000
西藏卫视,https://live.goodiptv.club/api/sxg.php?id=xzwsH264_2000
云南卫视,https://live.goodiptv.club/api/sxg.php?id=ynws_4000

江苏卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8$移动
深圳卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8$移动
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8$移动
黑龙江卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8$移动
山西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8$移动
海南卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8$移动
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8$移动
贵州卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8$移动
西藏卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8$移动
兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8$移动
延边卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8$移动
农林卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226229/index.m3u8$移动
安徽,#genre#
安徽经视,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000005$安徽联通专用
安徽影视,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000007$安徽联通专用
安徽综艺,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000011$安徽联通专用
安徽科教,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000013$安徽联通专用
安徽国际,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000015$安徽联通专用
安徽公共,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000009$安徽联通专用
亳州农村,http://10.255.126.3:8006/AHBKLIVE/11111120210408000000000000000033$安徽联通专用
亳州综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000075$安徽联通专用
蚌埠公共HD,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000077$安徽联通专用
蚌埠新闻HD,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000079$安徽联通专用
泗县新闻,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000101$安徽联通专用
宿州科技,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000097$安徽联通专用
宿州公共,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000095$安徽联通专用
宿州新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000099$安徽联通专用
涡阳新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000073$安徽联通专用
安庆新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000111$安徽联通专用
